,carat,cut,color,clarity,depth,table,x,y,z,city,price
3132,0.72,Ideal,H,SI1,62.0,57.0,5.73,5.76,3.56,Kimberly,2361
3133,1.69,Premium,G,VVS2,62.9,58.0,7.59,7.51,4.75,New York City,15889
3134,0.3,Ideal,G,VS2,62.3,56.0,4.3,4.27,2.67,Tel Aviv,675
3135,0.31,Very Good,E,SI1,59.1,59.0,4.42,4.44,2.62,Amsterdam,544
3136,0.5,Fair,G,VS1,66.8,56.0,4.85,4.91,3.26,Las Vegas,1367
3137,1.26,Ideal,E,SI2,61.0,57.0,7.03,6.97,4.27,Las Vegas,6477
3138,1.22,Premium,F,VVS1,61.9,58.0,6.85,6.81,4.23,Amsterdam,11830
3139,0.32,Ideal,E,VS2,61.7,56.0,4.39,4.43,2.72,Zurich,639
3140,0.41,Ideal,H,VS1,61.9,56.0,4.78,4.75,2.95,Madrid,1061
3141,0.38,Very Good,G,VS1,60.7,55.0,4.71,4.74,2.87,Dubai,1031
3142,1.09,Ideal,F,VS1,60.6,57.0,6.62,6.64,4.02,Tel Aviv,8422
3143,0.73,Ideal,E,SI2,62.1,56.0,5.74,5.79,3.58,Kimberly,2467
3144,0.56,Ideal,F,VVS2,61.9,56.0,5.29,5.32,3.28,Madrid,2462
3145,1.58,Premium,D,SI1,59.0,59.0,7.68,7.63,4.52,Zurich,13329
3146,1.27,Ideal,F,SI2,62.0,55.0,6.95,6.9,4.3,Luxembourg,5405
3147,1.1,Very Good,F,VS2,60.6,58.0,6.67,6.77,4.07,Dubai,7509
3148,0.33,Ideal,D,VS1,61.0,56.0,4.49,4.52,2.75,Las Vegas,978
3149,0.31,Ideal,G,VVS1,60.5,57.0,4.39,4.43,2.67,Madrid,798
3150,0.95,Ideal,H,SI1,61.9,56.0,6.31,6.35,3.92,London,4958
3151,0.72,Premium,D,SI1,60.5,57.0,5.89,5.85,3.55,Antwerp,3048
3152,0.73,Ideal,G,VS2,62.5,56.0,5.78,5.74,3.6,Paris,2586
3153,0.31,Ideal,E,IF,61.3,58.0,4.37,4.4,2.69,Luxembourg,1002
3154,1.13,Ideal,E,I1,62.0,55.0,6.7,6.66,4.14,Luxembourg,3797
3155,0.33,Very Good,D,VS1,61.6,53.0,4.45,4.48,2.75,Amsterdam,742
3156,1.21,Very Good,G,SI2,62.7,59.0,6.66,6.74,4.2,Paris,5308
3157,1.51,Good,G,IF,62.8,60.0,7.18,7.24,4.53,Kimberly,14654
3158,0.78,Premium,E,VS1,60.9,57.0,5.94,5.88,3.59,New York City,3360
3159,0.51,Ideal,H,VVS1,61.8,55.0,5.15,5.18,3.19,Dubai,1776
3160,1.74,Premium,J,VS1,62.5,58.0,7.67,7.65,4.79,Kimberly,11050
3161,0.33,Premium,E,VS2,61.0,60.0,4.42,4.47,2.71,Tel Aviv,723
3162,0.9,Premium,G,VS2,60.6,61.0,6.19,6.13,3.73,Surat,4079
3163,0.23,Very Good,F,VVS2,59.7,58.0,4.02,4.06,2.41,Kimberly,530
3164,0.72,Very Good,F,SI2,63.1,58.0,5.69,5.63,3.57,Amsterdam,2246
3165,1.02,Premium,F,SI2,60.3,59.0,6.53,6.5,3.93,New York City,4318
3166,0.7,Good,F,VS1,62.8,61.0,5.57,5.61,3.51,Amsterdam,2810
3167,0.38,Premium,I,VS1,59.9,60.0,4.72,4.66,2.81,London,898
3168,0.32,Ideal,E,IF,61.9,56.0,4.4,4.42,2.73,New York City,1095
3169,0.5,Premium,G,SI1,63.0,56.0,5.07,5.02,3.18,Las Vegas,1138
3170,1.01,Very Good,E,VVS1,61.6,58.0,6.45,6.57,4.01,Kimberly,10693
3171,1.07,Ideal,H,SI1,61.0,56.0,6.6,6.68,4.05,Paris,5281
3172,0.33,Ideal,H,VVS2,62.2,56.0,4.46,4.44,2.77,Surat,854
3173,1.41,Ideal,J,SI1,62.3,55.0,7.18,7.21,4.48,Madrid,6889
3174,0.33,Good,I,VVS2,63.7,56.0,4.4,4.36,2.79,Dubai,743
3175,1.24,Ideal,G,IF,62.0,55.0,6.93,6.89,4.29,Luxembourg,13178
3176,1.28,Ideal,G,SI1,62.4,58.0,6.89,6.95,4.32,Las Vegas,7415
3177,0.5,Very Good,E,VS2,62.1,62.0,5.08,5.1,3.16,Surat,1451
3178,1.62,Very Good,H,SI1,62.2,58.0,7.46,7.5,4.65,New York City,11351
3179,1.51,Premium,H,VS2,60.2,60.0,7.33,7.35,4.42,Antwerp,11435
3180,0.56,Ideal,F,VS2,62.6,56.0,5.28,5.3,3.31,London,1761
3181,2.01,Fair,G,SI2,56.2,63.0,8.28,8.23,4.64,Surat,12450
3182,1.24,Premium,J,VS2,61.4,59.0,6.91,6.83,4.22,Amsterdam,5026
3183,1.01,Premium,H,SI2,61.6,59.0,6.44,6.39,3.95,Dubai,4242
3184,1.04,Very Good,H,SI2,62.9,57.0,6.39,6.45,4.04,Amsterdam,4435
3185,1.09,Ideal,E,VS2,60.6,58.0,6.66,6.7,4.05,Paris,7796
3186,0.4,Very Good,F,VS1,60.9,61.0,4.75,4.78,2.9,Luxembourg,851
3187,0.51,Very Good,E,SI1,63.5,54.0,5.1,5.07,3.23,Amsterdam,1443
3188,0.43,Premium,E,SI1,60.2,60.0,4.94,4.89,2.96,Paris,1016
3189,0.32,Very Good,E,VS2,62.0,54.0,4.37,4.41,2.72,Tel Aviv,702
3190,1.0,Premium,D,VVS1,62.9,58.0,6.34,6.28,3.97,Las Vegas,10752
3191,0.9,Premium,H,SI1,62.7,58.0,6.14,6.2,3.87,Dubai,3545
3192,0.31,Ideal,F,SI1,62.0,54.0,4.36,4.38,2.71,Antwerp,628
3193,0.36,Ideal,I,VS2,61.8,55.0,4.58,4.61,2.84,Paris,505
3194,0.7,Ideal,H,VVS1,61.5,57.0,5.69,5.73,3.51,Paris,3517
3195,0.55,Ideal,I,SI1,61.7,55.0,5.29,5.31,3.27,Madrid,1134
3196,1.18,Premium,H,SI2,61.6,57.0,6.81,6.73,4.17,Madrid,4956
3197,2.11,Premium,D,SI2,58.7,60.0,8.45,8.41,4.95,Las Vegas,15198
3198,0.51,Ideal,E,VS1,62.7,56.0,5.1,5.14,3.21,Amsterdam,1636
3199,0.71,Very Good,E,VS1,62.1,57.0,5.67,5.69,3.53,London,3009
3200,0.31,Premium,I,SI1,59.6,58.0,4.44,4.39,2.63,Madrid,537
3201,0.35,Good,H,SI1,63.3,54.0,4.51,4.53,2.86,Madrid,504
3202,0.57,Ideal,G,SI1,62.0,55.0,5.35,5.32,3.31,Paris,1662
3203,0.55,Very Good,D,VVS2,61.3,57.0,5.26,5.28,3.23,Amsterdam,2585
3204,2.03,Ideal,G,SI2,62.6,56.0,8.15,8.1,5.08,Las Vegas,15717
3205,0.4,Premium,D,SI2,61.7,58.0,4.69,4.74,2.91,Surat,666
3206,0.91,Very Good,E,SI1,62.5,61.0,6.1,6.19,3.84,Kimberly,4512
3207,0.42,Ideal,G,VVS1,61.1,56.0,4.87,4.82,2.96,Surat,1235
3208,2.44,Premium,I,SI2,61.4,56.0,8.74,8.7,5.35,Paris,13027
3209,0.42,Premium,D,SI2,62.1,59.0,4.82,4.78,2.98,Paris,898
3210,0.88,Good,J,VS1,64.0,56.0,5.98,5.9,3.8,Dubai,1964
3211,0.5,Fair,D,SI1,64.6,61.0,5.05,4.95,3.23,Madrid,1238
3212,0.28,Ideal,F,VVS2,61.4,57.0,4.2,4.24,2.59,London,642
3213,0.7,Fair,D,SI2,65.6,55.0,5.59,5.5,3.64,Zurich,2167
3214,0.5,Ideal,G,SI2,61.4,57.0,5.1,5.13,3.14,Madrid,1107
3215,0.3,Ideal,I,SI1,61.2,58.0,4.28,4.31,2.63,Antwerp,422
3216,0.53,Ideal,E,SI1,61.6,56.0,5.23,5.19,3.21,Madrid,1607
3217,0.73,Ideal,F,SI1,61.7,55.0,5.79,5.82,3.58,Kimberly,3249
3218,1.05,Good,H,SI1,63.2,56.0,6.47,6.51,4.1,Zurich,4937
3219,2.0,Fair,I,VS1,66.3,54.0,7.98,7.88,5.26,Antwerp,12907
3220,0.31,Premium,G,SI1,60.4,58.0,4.42,4.39,2.66,Antwerp,593
3221,1.37,Ideal,H,VVS2,61.3,56.0,7.13,7.2,4.39,Zurich,9621
3222,0.82,Premium,I,VS2,62.6,59.0,5.91,5.87,3.69,Tel Aviv,2648
3223,2.01,Ideal,F,SI2,62.3,58.0,8.03,8.01,5.0,Las Vegas,15955
3224,0.55,Ideal,E,VS1,62.2,55.0,5.22,5.26,3.26,Dubai,1975
3225,0.53,Ideal,H,VS2,62.1,54.0,5.21,5.23,3.24,Zurich,1353
3226,1.03,Premium,J,SI2,62.2,59.0,6.42,6.4,3.99,Kimberly,3149
3227,0.81,Very Good,I,VS2,64.0,60.0,5.84,5.88,3.75,Antwerp,2714
3228,1.21,Premium,J,SI1,62.6,58.0,6.74,6.71,4.21,Paris,4269
3229,0.7,Very Good,I,SI2,63.5,56.0,5.63,5.59,3.56,Madrid,1801
3230,1.04,Premium,G,VS1,60.2,58.0,6.65,6.64,4.0,Surat,6360
3231,2.01,Good,H,I1,61.7,63.0,7.91,7.94,4.89,Antwerp,7959
3232,0.7,Very Good,G,VS1,61.0,57.0,5.69,5.72,3.48,Kimberly,2591
3233,0.7,Ideal,G,SI1,61.9,58.0,5.66,5.69,3.51,Luxembourg,2567
3234,1.01,Very Good,G,VS2,60.7,61.0,6.42,6.46,3.91,Antwerp,5759
3235,1.5,Good,E,SI1,58.9,61.0,7.43,7.5,4.4,New York City,11179
3236,1.01,Premium,D,VS2,61.6,59.0,6.38,6.32,3.91,Amsterdam,6271
3237,1.15,Premium,E,SI2,62.5,58.0,6.72,6.65,4.18,Surat,4328
3238,1.05,Premium,G,SI2,61.8,60.0,6.49,6.46,4.0,New York City,4198
3239,0.35,Very Good,G,IF,62.1,54.0,4.53,4.57,2.82,Antwerp,892
3240,0.3,Ideal,G,VS1,60.9,57.0,4.34,4.36,2.65,Luxembourg,624
3241,1.06,Very Good,D,SI1,59.4,57.0,6.65,6.72,3.97,Tel Aviv,5713
3242,0.32,Ideal,J,VS2,62.3,55.3,4.36,4.37,2.72,Luxembourg,413
3243,0.51,Ideal,E,SI1,61.2,57.0,5.14,5.16,3.15,Paris,1284
3244,0.81,Ideal,E,SI2,62.1,55.0,5.94,5.98,3.7,Tel Aviv,3101
3245,0.5,Premium,E,SI2,59.5,59.0,5.19,5.16,3.08,Zurich,1240
3246,0.41,Good,E,SI1,63.9,58.0,4.72,4.7,3.01,Las Vegas,969
3247,0.41,Ideal,F,VVS2,61.7,56.0,4.78,4.81,2.96,Zurich,1115
3248,0.34,Ideal,D,VS1,61.1,55.0,4.52,4.55,2.77,Dubai,838
3249,0.7,Very Good,D,VS2,60.7,60.0,5.72,5.74,3.48,Kimberly,2913
3250,0.52,Very Good,I,VVS1,63.1,58.0,5.13,5.1,3.23,Paris,1577
3251,0.91,Ideal,E,SI2,61.8,56.0,6.19,6.27,3.85,Antwerp,4160
3252,1.06,Very Good,H,VS2,62.4,56.0,6.49,6.56,4.07,Tel Aviv,5480
3253,1.03,Very Good,G,I1,63.2,58.0,6.44,6.34,4.04,Antwerp,2988
3254,0.3,Premium,G,SI2,62.3,59.0,4.25,4.29,2.66,Luxembourg,394
3255,0.34,Ideal,F,VVS2,62.0,54.2,4.47,4.49,2.78,Surat,846
3256,0.31,Ideal,E,VS2,61.7,55.0,4.36,4.39,2.7,Zurich,680
3257,0.26,Very Good,D,VS1,63.3,57.0,4.03,4.06,2.56,Amsterdam,420
3258,1.04,Premium,D,SI2,61.6,58.0,6.52,6.46,4.0,Zurich,4811
3259,0.36,Ideal,G,VS2,60.6,56.0,4.62,4.67,2.81,New York City,664
3260,0.71,Premium,E,VVS1,61.8,56.0,5.71,5.68,3.52,London,3936
3261,0.52,Premium,F,VS2,62.2,58.0,5.17,5.12,3.2,Tel Aviv,1720
3262,1.01,Good,F,SI2,65.7,58.0,6.12,6.2,4.05,Dubai,4049
3263,0.38,Premium,H,VS2,61.8,58.0,4.66,4.63,2.87,Tel Aviv,898
3264,1.5,Very Good,H,VS2,61.5,57.0,7.32,7.37,4.52,Kimberly,8936
3265,2.24,Ideal,J,VS2,61.8,54.0,8.41,8.36,5.18,New York City,15316
3266,0.28,Ideal,E,VS1,62.0,57.0,4.17,4.2,2.59,Antwerp,598
3267,0.52,Ideal,E,VS2,61.5,56.0,5.16,5.18,3.18,Amsterdam,1760
3268,0.52,Ideal,G,VS1,62.8,55.0,5.16,5.13,3.23,Zurich,1694
3269,0.32,Ideal,I,VVS1,62.5,55.0,4.37,4.4,2.74,Amsterdam,589
3270,0.71,Ideal,I,VS2,61.6,57.0,5.7,5.62,3.49,Tel Aviv,2582
3271,1.3,Very Good,H,SI1,63.4,57.0,6.93,6.88,4.38,London,6307
3272,2.2,Ideal,I,SI1,61.7,55.0,8.37,8.41,5.18,Dubai,17895
3273,0.41,Premium,D,VVS1,62.3,53.0,4.78,4.75,2.97,Tel Aviv,1582
3274,0.36,Premium,E,SI2,60.6,59.0,4.57,4.61,2.78,Kimberly,505
3275,0.5,Ideal,E,SI1,61.6,57.0,5.08,5.11,3.14,Tel Aviv,1337
3276,0.44,Ideal,G,SI1,61.5,57.0,4.87,4.88,3.0,Paris,772
3277,1.01,Very Good,E,SI1,63.1,60.0,6.37,6.34,4.01,Surat,5002
3278,0.32,Ideal,H,VS1,61.1,56.0,4.44,4.46,2.72,Paris,561
3279,0.31,Very Good,G,VS1,62.7,54.0,4.35,4.36,2.73,Kimberly,542
3280,0.32,Ideal,D,SI1,62.0,57.0,4.37,4.4,2.72,Zurich,589
3281,1.21,Very Good,I,VS2,63.4,57.0,6.79,6.72,4.28,Tel Aviv,5387
3282,0.31,Ideal,H,VS2,61.2,56.0,4.36,4.4,2.68,Antwerp,507
3283,1.87,Ideal,J,SI1,62.3,57.0,7.82,7.88,4.89,London,9955
3284,0.9,Good,F,SI1,58.8,60.0,6.22,6.26,3.67,New York City,4004
3285,1.01,Good,G,SI2,63.7,56.0,6.26,6.34,4.01,Antwerp,4211
3286,1.01,Premium,F,VS2,62.1,60.0,6.43,6.36,3.97,Dubai,6097
3287,1.53,Very Good,E,SI1,63.5,58.0,7.35,7.29,4.65,London,11406
3288,0.52,Ideal,E,VS2,61.7,55.0,5.16,5.21,3.2,Kimberly,1689
3289,2.01,Very Good,H,SI2,63.4,57.0,8.0,7.93,5.05,Surat,16111
3290,1.04,Good,F,SI2,58.5,61.0,6.63,6.68,3.89,Kimberly,4257
3291,0.53,Good,F,VVS2,62.5,65.0,5.11,5.17,3.21,Antwerp,2281
3292,0.25,Ideal,H,VS1,61.9,54.0,4.07,4.1,2.53,Antwerp,426
3293,0.3,Ideal,H,SI1,62.1,55.0,4.3,4.33,2.68,Antwerp,450
3294,0.91,Fair,H,SI2,61.3,67.0,6.24,6.19,3.81,Surat,2825
3295,0.72,Ideal,G,VS1,60.4,57.0,5.81,5.84,3.52,Paris,3478
3296,0.4,Ideal,D,VS1,62.3,54.0,4.7,4.74,2.94,Paris,1064
3297,0.63,Ideal,D,IF,62.5,55.0,5.47,5.5,3.43,Madrid,6549
3298,0.31,Ideal,I,SI1,62.7,56.0,4.34,4.3,2.71,Zurich,523
3299,0.38,Premium,F,VS2,61.9,59.0,4.66,4.61,2.87,London,1026
3300,1.4,Ideal,G,VS2,61.7,56.0,7.2,7.25,4.46,Surat,10311
3301,0.5,Fair,G,I1,64.9,57.0,5.01,4.97,3.24,Antwerp,727
3302,0.52,Ideal,G,VS1,62.7,56.0,5.16,5.14,3.23,Kimberly,1815
3303,0.51,Premium,G,VS1,59.6,58.0,5.22,5.21,3.11,Surat,1833
3304,0.32,Ideal,G,VVS2,62.1,57.0,4.4,4.42,2.74,Tel Aviv,730
3305,0.94,Good,I,SI2,63.8,60.0,6.14,6.21,3.94,Kimberly,3134
3306,0.33,Ideal,G,IF,61.6,56.0,4.48,4.45,2.75,Luxembourg,1052
3307,0.48,Premium,H,SI1,61.9,58.0,5.04,5.01,3.11,London,990
3308,0.31,Premium,F,VS2,61.2,58.0,4.37,4.35,2.67,Paris,802
3309,0.75,Very Good,E,SI1,63.0,55.0,5.76,5.79,3.64,Antwerp,2753
3310,0.3,Ideal,G,VVS2,62.5,53.8,4.26,4.3,2.68,Surat,687
3311,1.74,Ideal,I,VS1,61.8,56.0,7.69,7.73,4.77,Surat,15189
3312,2.03,Ideal,E,SI2,62.3,56.0,8.11,8.09,5.05,Dubai,14308
3313,0.3,Good,D,SI1,63.4,56.0,4.26,4.29,2.71,New York City,552
3314,0.5,Very Good,F,SI2,62.4,56.0,5.08,5.12,3.18,Zurich,1147
3315,2.09,Premium,J,VS1,61.2,59.0,8.22,8.31,5.06,New York City,15035
3316,1.03,Very Good,D,SI2,60.9,57.0,6.53,6.55,3.98,New York City,4545
3317,0.7,Premium,E,SI1,61.0,56.0,5.75,5.69,3.49,Amsterdam,2576
3318,1.02,Ideal,F,VVS2,62.3,58.0,6.42,6.45,4.01,Luxembourg,9598
3319,1.62,Ideal,E,VS2,61.4,57.0,7.54,7.58,4.64,New York City,16358
3320,0.36,Ideal,F,VVS2,61.4,56.0,4.58,4.61,2.82,Paris,817
3321,0.34,Ideal,G,VS2,61.7,56.0,4.53,4.48,2.78,Luxembourg,765
3322,0.7,Good,J,SI1,64.3,56.0,5.62,5.57,3.6,Madrid,1442
3323,0.41,Premium,E,SI2,61.9,55.0,4.8,4.77,2.96,Antwerp,876
3324,0.35,Ideal,E,VS2,62.0,57.0,4.51,4.55,2.81,Dubai,767
3325,1.09,Premium,I,VS2,59.0,61.0,6.78,6.75,3.98,Surat,4090
3326,0.37,Good,H,SI1,64.0,55.0,4.53,4.57,2.91,New York City,528
3327,0.34,Ideal,D,SI1,60.4,57.0,4.53,4.51,2.73,Kimberly,803
3328,0.77,Ideal,H,VS2,60.6,57.0,5.93,5.89,3.58,Las Vegas,2479
3329,0.38,Premium,D,VVS2,60.8,55.0,4.71,4.67,2.85,Tel Aviv,1009
3330,0.77,Ideal,E,SI2,61.0,57.0,5.95,5.92,3.62,Tel Aviv,2360
3331,0.53,Very Good,G,SI2,63.4,55.0,5.1,5.19,3.26,Kimberly,1079
3332,0.31,Ideal,H,SI1,62.0,53.9,4.35,4.39,2.7,Kimberly,491
3333,1.02,Very Good,F,SI1,62.8,55.0,6.4,6.43,4.03,New York City,5301
3334,0.9,Very Good,I,SI2,61.5,61.0,6.13,6.16,3.78,Dubai,3057
3335,0.7,Very Good,E,SI1,62.6,58.0,5.66,5.68,3.55,Zurich,2239
3336,0.72,Premium,I,SI1,60.6,57.0,5.88,5.73,3.52,Antwerp,1799
3337,1.0,Ideal,D,SI1,62.2,56.0,6.38,6.35,3.96,Madrid,5880
3338,0.72,Premium,G,VS1,60.9,60.0,5.78,5.75,3.51,Luxembourg,2607
3339,0.9,Premium,I,SI1,62.1,59.0,6.2,6.17,3.84,Tel Aviv,3468
3340,1.0,Very Good,F,IF,63.9,56.0,6.31,6.34,4.04,Paris,9248
3341,1.11,Very Good,G,SI1,60.7,59.0,6.6,6.65,4.02,Luxembourg,8184
3342,0.9,Ideal,F,SI1,62.0,57.0,6.21,6.25,3.86,Paris,4318
3343,0.51,Ideal,J,VS1,61.6,54.0,5.14,5.18,3.18,Tel Aviv,988
3344,0.24,Very Good,F,VS2,61.3,54.0,4.02,4.07,2.47,Kimberly,461
3345,1.01,Premium,F,SI2,62.6,54.0,6.38,6.34,3.98,Zurich,4468
3346,0.34,Ideal,E,VS1,62.2,57.0,4.46,4.51,2.79,Luxembourg,698
3347,0.9,Very Good,G,SI1,63.2,59.0,6.1,6.05,3.84,Antwerp,3669
3348,1.01,Very Good,I,SI1,60.9,63.0,6.51,6.43,3.94,New York City,2323
3349,0.71,Good,H,VVS2,60.4,63.0,5.69,5.74,3.45,New York City,2738
3350,0.71,Premium,I,VVS2,61.9,60.0,5.69,5.75,3.54,Kimberly,2428
3351,0.91,Very Good,E,SI2,62.4,58.0,6.11,6.14,3.82,Kimberly,3936
3352,1.21,Very Good,F,VS2,63.5,55.0,6.77,6.71,4.28,London,7928
3353,1.59,Premium,E,SI1,58.8,59.0,7.69,7.61,4.5,Surat,9705
3354,0.51,Very Good,G,VS2,62.3,59.0,5.07,5.1,3.17,Kimberly,1438
3355,2.03,Premium,J,SI2,61.6,58.0,8.15,8.12,5.01,Antwerp,12380
3356,0.75,Ideal,H,SI1,62.1,57.0,5.82,5.78,3.6,Kimberly,2165
3357,1.15,Premium,H,SI2,60.4,58.0,6.8,6.75,4.09,Antwerp,3220
3358,0.52,Premium,E,VS2,62.5,60.0,5.14,5.1,3.2,New York City,1694
3359,0.35,Ideal,F,VS2,61.5,57.0,4.52,4.55,2.79,Surat,706
3360,1.01,Ideal,D,SI1,63.0,57.0,6.43,6.34,4.02,Madrid,6097
3361,1.64,Premium,I,SI2,61.3,58.0,7.62,7.58,4.66,Luxembourg,8743
3362,0.51,Good,E,SI1,63.6,59.0,5.13,5.06,3.24,Dubai,1170
3363,1.03,Ideal,F,VS1,59.0,55.0,6.67,6.62,3.92,Kimberly,7752
3364,0.73,Premium,I,VVS2,61.5,58.0,5.78,5.73,3.54,Amsterdam,2351
3365,0.3,Ideal,G,SI1,61.8,56.0,4.34,4.37,2.69,Paris,477
3366,0.58,Premium,I,VVS1,62.6,59.0,5.31,5.27,3.31,Dubai,1758
3367,1.5,Very Good,D,VS1,61.2,63.0,7.28,7.32,4.47,Las Vegas,16407
3368,0.56,Premium,F,SI2,60.2,58.0,5.36,5.33,3.22,Paris,1715
3369,1.25,Very Good,G,VVS1,60.6,60.0,6.92,6.95,4.2,London,10962
3370,1.0,Good,E,SI2,59.9,63.0,6.45,6.5,3.88,New York City,4184
3371,0.75,Premium,H,VS1,61.9,61.0,5.85,5.82,3.61,Antwerp,2961
3372,0.32,Ideal,I,VS2,60.6,56.0,4.42,4.46,2.69,Paris,485
3373,0.33,Premium,G,VVS2,61.0,58.0,4.48,4.44,2.72,Kimberly,965
3374,0.54,Ideal,G,VS2,61.7,55.0,5.22,5.26,3.23,Zurich,1401
3375,0.72,Premium,I,IF,63.0,57.0,5.72,5.7,3.6,London,2795
3376,1.11,Very Good,E,SI2,62.0,58.0,6.61,6.68,4.12,London,4769
3377,1.09,Premium,H,VS2,59.7,58.0,6.73,6.66,4.0,Antwerp,5677
3378,1.49,Ideal,H,SI1,62.4,56.0,7.28,7.24,4.53,Antwerp,9132
3379,0.47,Very Good,F,SI2,63.3,59.0,4.9,4.86,3.09,Dubai,1058
3380,0.92,Ideal,E,SI1,61.4,55.0,6.29,6.25,3.85,Amsterdam,4183
3381,2.03,Ideal,G,SI1,60.3,56.0,8.27,8.21,4.97,Dubai,16224
3382,0.6,Ideal,H,VS1,62.0,53.0,5.44,5.46,3.38,Zurich,1772
3383,1.12,Premium,I,SI1,60.6,60.0,6.77,6.73,4.09,Surat,4390
3384,1.1,Premium,J,SI2,60.0,58.0,6.77,6.66,4.03,Luxembourg,3216
3385,0.4,Very Good,F,VVS2,60.5,57.0,4.76,4.79,2.89,Paris,1012
3386,0.71,Ideal,E,SI2,61.9,56.0,5.73,5.76,3.56,Antwerp,2458
3387,1.06,Ideal,D,SI1,61.5,56.0,6.58,6.55,4.04,Amsterdam,6565
3388,0.59,Good,I,VVS2,57.8,61.0,5.52,5.6,3.21,New York City,1427
3389,0.41,Ideal,J,VS1,61.3,57.0,4.81,4.84,2.96,Madrid,648
3390,1.34,Premium,D,SI2,60.3,59.0,7.16,7.11,4.3,Zurich,5756
3391,0.3,Ideal,H,SI1,62.1,56.0,4.29,4.31,2.67,Surat,450
3392,1.51,Very Good,E,SI1,63.1,58.0,7.28,7.23,4.58,Antwerp,11565
3393,0.3,Ideal,F,VS1,61.3,55.0,4.36,4.32,2.66,Paris,731
3394,1.01,Fair,G,VS1,66.8,61.0,6.15,6.06,4.08,Tel Aviv,4864
3395,1.0,Fair,F,SI2,65.5,54.0,6.2,6.16,4.05,Tel Aviv,3864
3396,0.38,Very Good,H,VS2,62.8,56.0,4.59,4.62,2.89,Las Vegas,700
3397,3.01,Premium,J,SI2,59.7,58.0,9.41,9.32,5.59,Tel Aviv,18710
3398,1.16,Ideal,G,VVS1,60.5,57.0,6.78,6.83,4.12,Las Vegas,9075
3399,0.76,Ideal,E,SI1,61.7,57.0,5.84,5.89,3.62,Kimberly,2949
3400,0.51,Ideal,F,VS2,61.0,57.0,5.16,5.11,3.13,Luxembourg,1619
3401,0.31,Very Good,D,VVS2,60.5,56.0,4.38,4.41,2.66,London,1009
3402,0.3,Very Good,H,SI1,58.7,63.0,4.37,4.32,2.55,Paris,504
3403,0.38,Ideal,H,VS1,61.1,55.0,4.68,4.72,2.87,Antwerp,721
3404,1.01,Premium,H,SI2,63.0,59.0,6.33,6.27,3.97,Madrid,3671
3405,0.32,Premium,G,VS2,62.3,60.0,4.37,4.4,2.73,Las Vegas,561
3406,0.42,Very Good,E,VVS1,60.5,55.0,4.85,4.9,2.95,Luxembourg,1365
3407,1.59,Premium,E,VS1,61.2,58.0,7.58,7.49,4.61,London,17552
3408,0.7,Ideal,F,SI1,61.5,57.0,5.67,5.74,3.51,Tel Aviv,2528
3409,1.16,Very Good,I,VS2,62.6,59.0,6.63,6.69,4.17,Dubai,4869
3410,0.51,Ideal,G,VVS1,62.6,57.0,5.08,5.14,3.2,London,2005
3411,0.5,Very Good,F,VS2,62.7,56.0,5.04,5.07,3.17,New York City,1396
3412,1.54,Ideal,D,SI1,63.0,54.0,7.33,7.28,4.6,Madrid,10694
3413,0.54,Good,H,VVS2,60.9,57.2,5.22,5.26,3.19,Surat,1883
3414,0.3,Premium,H,VVS1,61.8,58.0,4.36,4.32,2.68,Kimberly,878
3415,0.39,Good,G,IF,63.5,56.0,4.65,4.67,2.96,Antwerp,1213
3416,0.54,Ideal,H,VVS2,61.8,56.0,5.25,5.27,3.25,Surat,1696
3417,0.37,Ideal,F,VS2,61.4,56.0,4.63,4.59,2.83,Zurich,957
3418,0.39,Ideal,H,VS2,61.6,56.0,4.68,4.71,2.89,London,788
3419,0.43,Very Good,D,VS1,61.2,58.0,4.82,4.88,2.97,Surat,1199
3420,0.51,Very Good,J,SI1,62.6,59.0,5.06,5.1,3.18,New York City,930
3421,0.32,Premium,G,VS1,61.8,60.0,4.36,4.35,2.69,Paris,828
3422,1.7,Good,J,VS2,63.6,59.0,7.53,7.48,4.77,Kimberly,8282
3423,0.4,Premium,E,SI2,60.5,59.0,4.78,4.74,2.88,Tel Aviv,821
3424,0.31,Ideal,E,VVS1,61.3,56.0,4.39,4.43,2.7,Luxembourg,1064
3425,0.42,Very Good,D,SI1,60.2,57.0,4.85,4.89,2.93,Dubai,756
3426,2.01,Premium,G,SI2,62.3,60.0,8.04,7.97,4.99,Luxembourg,15147
3427,0.31,Good,G,VS2,63.6,56.0,4.29,4.26,2.72,Surat,698
3428,0.53,Very Good,E,VS2,61.4,55.0,5.21,5.24,3.21,Luxembourg,1607
3429,0.31,Ideal,G,VS2,63.0,54.0,4.37,4.33,2.74,Kimberly,698
3430,2.01,Ideal,F,SI2,60.0,56.0,8.17,8.22,4.92,Antwerp,17220
3431,0.5,Premium,E,SI1,61.5,62.0,5.09,5.06,3.12,Antwerp,1415
3432,1.57,Very Good,H,VS1,62.8,60.0,7.36,7.44,4.65,New York City,11605
3433,0.31,Ideal,D,VVS2,62.0,56.0,4.37,4.34,2.7,Surat,982
3434,1.01,Ideal,F,SI2,62.4,54.0,6.41,6.44,4.01,New York City,5154
3435,1.0,Ideal,F,SI1,63.0,56.0,6.41,6.38,4.03,London,5656
3436,0.7,Good,F,VS1,63.7,55.0,5.56,5.61,3.56,Antwerp,2724
